authors,series,series_index,timestamp,tags,formats,isbn,identifiers,languages,#kanon,comments,library_name,rating,cover,pubdate,#przeczytane,size,author_sort,title,title_sort,publisher,#chomik,#format,id,#kiedy,uuid
Terry Pratchett,Świat Dysku,3.0,2016-09-15T10:24:43+02:00,,"epub, mobi",,"amazon:B00AJ0LRUS,mobi-asin:4796ae44-c63e-47d6-9e02-ef23158c4ae6",pol,87,"Jest to opowiesc o tym, czym jest magia i dokad zmierza, a co wazniejsze, skad przychodzi i po co. Przedstawiona historia nie pretenduje do odpowiedzi na wszystkie te pytania, moze jednak pomóc w wyjasnieniu, dlaczego Gandalf nigdy sie nie ozenil i dlaczego Merlin byl mezczyzna. Jest to równiez opowiesc o seksie, choc nie w sensie atletyczno-gimnastycznym, czy tez w sensie ""policz wszystkie nogi i podziel przez dwa"". Chyba ze postacie calkowicie wyrwa sie spod kontroli autora. I to jest mozliwe.

**
",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Terry Pratchett/Rownoumagicznienie (459)/cover.jpg,2006-01-02T01:00:00+01:00,,503595,"Pratchett, Terry",Równoumagicznienie,Równoumagicznienie,Prószynski I S-Ka,,FINE,459,,5eeea2e0-e2c1-4ef4-9f19-2c4a97b09554
Terry Pratchett,Świat Dysku,25.0,2016-09-15T10:24:44+02:00,,"epub, mobi",9788378392798,"mobi-asin:54a96bc4-4b37-4701-8703-18d5a7b7ebe2,amazon:8378392791,isbn:9788378392798",pol,87,"William de Worde jest przypadkowym wydawca pierwszej gazety na Dysku Musi sobie radzic z tradycyjnymi problemami dziennikarskiego zycia ludzmi ktorzy chca by zginal wampirem na odwyku zywiacym samobojcza fascynacje fotografowaniem z lampa blyskowa innymi ludzmi ktorzy tez chca by zginal choc w inny sposob oraz co najgorsze czlowiekiem ktory blaga go by publikowal zdjecia jego ziemniakow o zabawnych ksztaltach

**
",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Terry Pratchett/Prawda (460)/cover.jpg,2012-09-15T02:00:00+02:00,,787265,"Pratchett, Terry",Prawda,Prawda,Prószynski Media,,FINE,460,,e7eef8fd-5ecb-424e-8e4d-c4157d88438c
Terry Pratchett,Świat Dysku,24.0,2016-09-15T10:24:44+02:00,,"epub, mobi",,mobi-asin:cf68b157-de42-4ea9-a530-acca8ffc4064,pol,87,"24-ta księga ze Świata Dysku
",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Terry Pratchett/Piaty elefant (461)/cover.jpg,1999-07-10T00:00:00+02:00,,552084,"Pratchett, Terry",Piąty elefant,Piąty elefant,,,FINE,461,,1dbf46f9-3881-4016-a7ca-9edf667c6e64
Terry Pratchett,Świat Dysku,23.0,2016-09-15T10:24:44+02:00,,"epub, mobi",9788378390015,"isbn:9788378390015,amazon:B00JW7N6YY,google:-pnypwAACAAJ,mobi-asin:2794814a-ec04-4950-8710-26bfa9b8a8fe",pol,87,"Wielce Oats trafil na nie najlepszy moment, by zostac kaplanem. Sadzil, ze przybywa do Lancre na prosta ceremonie. Tymczasem znalazl sie na wojnie miedzy wampirami a czarownicami. Jest tu mloda Agnes, ktora naprawde czasem nie jest soba. Magrat, ktora stara sie polaczyc czarownictwo i pieluchy. Niania Ogg... i babcia Weatherwax, ktora jest prawdziwym problemem. Wampiry sa inteligentne. Maja styl i wykwintne kamizelki. Wyszly z trumien i pragna kesa przyszlosci. Wielce Oats wie, ze ma modlitwe, ale wolalby topor.

**
",Biblioteka calibre,5,/home/amarcinkowski/Dropbox/Biblioteka calibre/Terry Pratchett/Carpe Jugulum (462)/cover.jpg,1999-01-02T01:00:00+01:00,,550912,"Pratchett, Terry",Carpe Jugulum,Carpe Jugulum,Corgi,,FINE,462,,3d5dbca5-c5e1-4c5d-a5ea-a7773eeb368b
Terry Pratchett,Świat Dysku,22.0,2016-09-15T10:24:44+02:00,,"epub, mobi",9788376489261,"isbn:9788376489261,amazon:8376489267,mobi-asin:b08e1167-2f8a-4d27-8420-53f35a5ee3b6",pol,87,"Cos zaginelo na Niewidocznym Uniwersytecie - najbardziej prestizowej (tzn. jedynej) instytucji naukowej w Ankh-Morpork. Brakuje profesora - ale grupa poszukiwawcza jest w drodze! Zespol starszych magow podazy jego tropem, dokadkolwiek by prowadzil, nawet na drugi koniec Dysku, gdzie Ostatni Kontynent, Czteriksy, wciaz jest w stadium budowy. Wyobra?cie sobie magiczna kraine, gdzie deszcz jest tylko mitem, gdzie to, co zwykle, jest niezwykle, a przeszlosc i tera?niejszosc biegna ramie w ramie. Przezyjcie groze spotkania z Szalonym Krasnoludem, Wojownikiem Szos, Smiercia, jednym czy drugim Stworca i przerazajacym Pasztecikowym Plywakiem... Wczujcie sie w te pasje, kiedy mieszkancy Ostatniego Kontynentu odkrywaja, co sie dzieje, kiedy pada deszcz, a rzeki wypelniaja sie woda (na przyklad trzeba odwolac regaty)...

**
",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Terry Pratchett/Ostatni Kontynent (463)/cover.jpg,2011-09-15T02:00:00+02:00,,535729,"Pratchett, Terry",Ostatni Kontynent,Ostatni Kontynent,Prószynski Media,,FINE,463,,d91a7002-6d6b-4c62-aa60-61376b8a1d5c
Terry Pratchett,Świat Dysku,21.0,2016-09-15T10:24:45+02:00,,"epub, mobi",9788378390008,"isbn:9788378390008,amazon:8378390004,mobi-asin:aafca75d-7694-4944-9286-5f299731bff0",pol,87,"Cos nowego pojawilo sie miedzy starozytnymi miastami Ankh-Morpork i Al-Khali. Doslownie. To wyspa, wynurzajaca sie z dna Okraglego Morza Dysku. Poniewaz jest niezamieszkana i oba miasta roszcza sobie do niej prawa, komendant Vimes ze swymi wiernymi straznikami staje wobec zbrodni tak wielkiej, ze zadne prawa jej nie obejmuja. Nazywa sie ""wojna"". Ale nie lekajcie sie. Wszystko to dzieje sie na dalekim swiecie Dysku, gdzie chciwosc i ignorancja wplywaja na dzialania politykow i gdzie calkiem normalni ludzie zachowuja sie czasem jak totalni idioci. Krotko mowiac, w swiecie zupelnie niepodobnym, przynajmniej na pierwszy rzut oka, do naszego.

**
",Biblioteka calibre,,"/home/amarcinkowski/Dropbox/Biblioteka calibre/Terry Pratchett/Bogowie, Honor, Ankh-Morpork (464)/cover.jpg",2011-09-15T02:00:00+02:00,,595271,"Pratchett, Terry","Bogowie, Honor, Ankh-Morpork","Bogowie, Honor, Ankh-Morpork",Prószy?ski Media,,FINE,464,,4fec8bd3-8b21-4fec-931f-ae8c208ea21c
Terry Pratchett,Świat Dysku,20.0,2016-09-15T10:24:45+02:00,,"epub, mobi",,mobi-asin:4185ab28-9270-410d-a764-80ffe68c0b72,pol,87,,Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Terry Pratchett/Wiedzmikolaj (465)/cover.jpg,1996-07-10T00:00:00+02:00,,521105,"Pratchett, Terry",Wiedźmikołaj,Wiedźmikołaj,,,FINE,465,,9656aa5f-e755-4809-9229-53e4c8e896d7
Terry Pratchett,Świat Dysku,19.0,2016-09-15T10:24:45+02:00,,"epub, mobi",9788378390589,"mobi-asin:2a233b4b-04cd-45e2-98bb-8716c3dada3f,amazon:8378390586,isbn:9788378390589",pol,87,"Kryminalna zagadka w swiecie Dysku. Kto morduje nieszkodliwych staruszkow? Kto probuje otruc Patrycjusza? Kiedy jesienne mgly spowijaja Ankh-Morpork, Straz Miejska musi schwytac morderce, ktorego nie moze zobaczyc. Moze golemy cos wiedza - ale powazni ludzie z gliny, ktorzy pracuja cale dnie i noce, i nigdy nikomu nie wadza, nagle zaczeli popelniac samobojstwa. Zreszta straz ma takze wlasne problemy. Pewien wilkolak cierpi na syndrom napiecia przedpelniowego. Kapral Nobbs zaczyna bywac wsrod jasniepanstwa, a u nowego rekruta-krasnoluda mozna dostrzec pewne bardzo dziwne cechy - zwlaszcza kolczyki i cienie do oczu. Komu mozna zaufac, kiedy motloch krazy po ulicach, spiskowcy kryja sie w mroku, a wszystkie slady wskazuja niewlasciwy kierunek? W nocnych ciemnosciach komendant strazy, sir Samuel Vimes, przekonuje sie, ze gdzies tam, byc moze, wcale nie ma prawdy. Prawda moze byc wsrod slow w jego glowie.

**
",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Terry Pratchett/Na Glinianych Nogach (466)/cover.jpg,2012-09-15T02:00:00+02:00,,531548,"Pratchett, Terry",Na Glinianych Nogach,Na Glinianych Nogach,Prószy?ski Media,,FINE,466,,5bde90de-774a-4646-a1be-4ebed3237790
Terry Pratchett,Świat Dysku,18.0,2016-09-15T10:24:45+02:00,,"epub, mobi",,"amazon:B00AJ0LJPG,mobi-asin:594e9906-2a14-464b-b6a1-879d9417275b",pol,87,"Przedstawienie trwa, póki nie zaspiewa gruba dama! Upiór grasuje w budynku Opery w Ankh-Morpork. Nosi maske biala jak kosc i terroryzuje caly zespól, w tym niesmiertelnego Enrico Basilice, który je bez przerwy, nawet kiedy spiewa. Glównie spaghetti w sosie pomidorowym. Czy jest lepszy sposób na pozbycie sie upiora niz czarownica? Na scene wkracza najnowsza operowa diwa, Perdita X. Nitt, o takiej skali glosu, ze moze spiewac chórem sama ze soba. I robi to. Aby bardziej skomplikowac sytuacje (bo czemu nie), za scena pojawia sie kot, który czasami zmienia sie w czlowieka tylko dlatego, ze to latwe. Nie wspominajac juz o starym przyjacielu babci Weatherwax, Smierci, którego od zbyt czestego uzywania boli juz ostrze kosy. I który takze niekiedy wklada maske...

**
",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Terry Pratchett/Maskarada (467)/cover.jpg,2003-01-02T01:00:00+01:00,,483574,"Pratchett, Terry",Maskarada,Maskarada,Prószynski I S-Ka,,FINE,467,,d2d5d2c1-c2de-494e-9b54-6a68dfff3552
Terry Pratchett,Świat Dysku,17.0,2016-09-15T10:24:45+02:00,,"epub, mobi",,"amazon:B00AJ0LEU6,mobi-asin:28858314-12f9-4031-8b8f-807a3300644f",pol,87,"Obys zyl w ciekawych czasach - starozytna klatwa Kiedy kurierski albatros przybywa z zadaniem przyslania ""Wielkiego Maga"", Rincewind zostaje wezwany do trapionego niepokojami Imperium Hongów, Sungów, Fangów, Tangów i McSweeneyów, gdzie decyduja sie losy tronu. Rincewindowi pomaga Cohen Barbarzynca, a takze napedzany mrówkami komputer HEX, fraktalny motyl pogody ze skrzydelkami Mandelbrota oraz przerazajaca, choc dosc powolna armia, zlozona z szesciu staruszków - Srebrna Orda. Ich misja jest albo obronic, albo zdobyc Zakazane Miasto Hunghung. Niestety, instrukcje nie sa jasne.

**
",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Terry Pratchett/Ciekawe Czasy (468)/cover.jpg,2009-08-26T02:00:00+02:00,,556505,"Pratchett, Terry",Ciekawe Czasy,Ciekawe Czasy,Prószynski Media,,FINE,468,,5702b6d3-46dd-4e32-beee-9b412a19d0b9
Terry Pratchett,Świat Dysku,16.0,2016-09-15T10:24:46+02:00,"Fiction, General, Fantasy","epub, mobi",9788378390039,"mobi-asin:a107d8f5-6228-43ba-8281-bb44afbaa668,amazon:8378390039,google:BMDkPwAACAAJ,isbn:9788378390039",pol,87,"Inne dzieci dostawaly w prezencie cymbalki. Susan musiala tylko prosic dziadka, zeby zdjal kamizelke... Tak. Ma Smierc w rodzinie. Trudno jest normalnie dorastac, kiedy dziadek je?dzi na bialym koniu i dzierzy kose - zwlaszcza gdy trzeba przejac rodzinny interes, a jedyny pomocnik mowi tylko po szczurzemu. A juz szczegolnie wtedy, kiedy ma sie do czynienia z nowa, uzalezniajaca muzyka, ktora pojawila sie w Swiecie Dysku. Jest bezprawna. I zmienia ludzi. Nazywana jest ""Muzyka z wykrokiem"". Ma rytm i mozna przy niej tanczyc, ale... Jest... zywa. I nie chce ucichnac.

**
",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Terry Pratchett/Muzyka duszy (469)/cover.jpg,2011-09-15T02:00:00+02:00,,533112,"Pratchett, Terry",Muzyka duszy,Muzyka duszy,Prószy?ski Media,,FINE,469,,a6690788-8902-430c-b0d2-3d9ab3e619b9
Terry Pratchett,Świat Dysku,15.0,2016-09-15T10:24:46+02:00,,"epub, mobi",9788378390596,"mobi-asin:9a08c060-db0c-49f9-8ea3-094ad3e5afe0,amazon:8378390594,google:CZJauAAACAAJ,isbn:9788378390596",pol,87,"Zostan prawdziwym mezczyzna w Strazy! Straz Miejska potrzebuje ludzi!"" Ale ci, ktorych naprawde dostaje, to m.in. kapral Marchewa (formalnie krasnolud), mlodszy funkcjonariusz Cuddy (naprawde krasnolud), mlodszy funkcjonariusz Detrytus (troll), mlodsza funkcjonariusz Angua (kobieta... na ogol) i kapral Nobbs (wykluczony z rasy ludzkiej za faule). Przyda im sie kazda pomoc. Bo zlo unosi sie w powietrzu, mord czai za progiem, a cos bardzo paskudnego na ulicach. Dobrze by bylo, gdyby wszystko udalo sie zalatwic do poludnia, poniewaz wtedy wlasnie kapitan Vimes oficjalnie przechodzi w stan spoczynku, oddaje odznake i sie zeni. A ze wszystko to dzieje sie w Ankh-Morpork, wiele rzeczy moze sie wydarzyc w samo poludnie.

**
",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Terry Pratchett/Zbrojni (470)/cover.jpg,2012-09-15T02:00:00+02:00,,526056,"Pratchett, Terry",Zbrojni,Zbrojni,Proszynski Media,,FINE,470,,3ed6b23e-74f4-459a-8057-908fc67de4bf
Terry Pratchett,Świat Dysku,14.0,2016-09-15T10:24:46+02:00,,"epub, mobi",9788378395478,"mobi-asin:e6216b43-cbce-4dc0-93e3-22875fdea247,amazon:8378395472,isbn:9788378395478",pol,87,"Jest goraca letnia noc. Kregi zbozowe otwieraja sie wszedzie, nawet na hodowli rzezuchy Pewseya Ogga, lat cztery. A Magrat Garlick, czarownica, rankiem ma wyjsc za maz... Wszystko powinno byc jak we snie. Ale Lancranski Zespol Tanca Morris upija sie przy magicznych kamieniach i elfy wracaja, przynoszac ze soba wszystko to, co tradycyjnie laczy sie z ich czarowna, migotliwa kraina: okrucienstwo, porwania, zlosliwosc i zlosc, straszne morderstwa. Babcia Weatherwax i jej maly, klotliwy sabat ma tym razem pelne rece roboty... Pelna obsada drugoplanowa: krasnoludy, magowie, trolle, tancerze morrisa oraz jeden orangutan. Mnostwo trali-dida-nonny-nonny i wszedzie pelno krwi.

**
",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Terry Pratchett/Panowie I Damy (471)/cover.jpg,2012-09-15T02:00:00+02:00,,494549,"Pratchett, Terry",Panowie I Damy,Panowie I Damy,Prószynski Media,,FINE,471,,8945179a-115a-4921-908d-46511383ef66
Terry Pratchett,Świat Dysku,13.0,2016-09-15T10:24:46+02:00,,"epub, mobi",9788376488561,"mobi-asin:f12cc4c4-8e37-4277-8264-a0ff1ed7ce4e,amazon:8376488562,isbn:9788376488561",pol,87,"Na swiecie istnieja miliardy bostw. Roja sie gesto jak lawica sledzi. Wiekszosc z nich jest zbyt mala, by je zauwazyc, dlatego nigdy nikt ich nie czci, w kazdym razie nikt wiekszy od bakterii, ktore sie nie modla i nie maja wielkich wymagan w zakresie cudow. To sa wlasnie pomniejsze bostwa - duchy miejsc, gdzie krzyzuja sie sciezki mrowek, bogowie mikroklimatow pomiedzy korzeniami traw. I wiekszosc z nich taka juz pozostaje. Poniewaz brakuje im wiary. Garstka jednak trafia w wyzsze regiony. Powodem moze byc cokolwiek. Pasterz szukajacy zblakanej owcy znajduje ja w krzakach i poswieca minute czy dwie, zeby wzniesc niewielki kamienny oltarzyk w ogolnej podziece wszelkim duchom, jakie moga przebywac w okolicy. Albo jakies niezwykle uksztaltowane drzewo zostanie skojarzone z lekiem na chorobe. Albo ktos wyryje spirale na samotnym glazie. Albowiem bogowie potrzebuja wiary, a ludzie pragna bogow. Czesto na tym sie konczy. Ale czasami wydarzenia rozwijaja sie dalej. Dodawane sa nastepne kamienie, ukladane kolejne glazy; w miejscu, gdzie kiedys roslo drzewo, staje swiatynia. Bog wtedy nabiera mocy, wiara wyznawcow niesie go w gore jak tysiac ton paliwa rakietowego. Nieliczni siegaja az do nieba, czasem nawet dalej.

**
",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Terry Pratchett/Pomniejsze Bostwa (472)/cover.jpg,2010-09-15T02:00:00+02:00,,509785,"Pratchett, Terry",Pomniejsze Bóstwa,Pomniejsze Bóstwa,Prószynski Media,,FINE,472,,72767aee-4f75-4adc-88a4-7b26de0a1329
Terry Pratchett,Świat Dysku,12.0,2016-09-15T10:24:46+02:00,,"epub, mobi",,"amazon:B00AJ0LX1G,mobi-asin:c879e25e-e109-4880-8001-83f9bc3970b3",pol,87,"To jest opowiesc o opowiesciach. Albo o tym, co naprawde znaczy byc wrózka i matka chrzestna. Ale tez, zwlaszcza, o zwierciadlach i odbiciach. W calym wszechswiecie zyja prymitywne plemiona, które nie ufaja lustrom i obrazom. Uwazaja bowiem, ze lustra kradna czesc ich duszy, a przeciez tej duszy nikt nie ma az tak duzo. Ludzie, którzy nosza wiecej odziezy twierdza, ze to przesady. Twierdza tak, mimo ze ci, którzy przez cale zycie pojawiaja sie na takich czy innych obrazach, zwykle staja sie chudzi i przezroczysci. Sklada sie to na karb przepracowania i niedozywienia. Zwykly przesad.

**
",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Terry Pratchett/Wyprawa Czarownic (473)/cover.jpg,2001-01-02T01:00:00+01:00,,474121,"Pratchett, Terry",Wyprawa Czarownic,Wyprawa Czarownic,Prószynski I S-Ka,,FINE,473,,7ae93b32-d860-4713-905d-82addb4ecabe
Terry Pratchett,Świat Dysku,11.0,2016-09-15T10:24:47+02:00,,"epub, mobi",9788376489001,"isbn:9788376489001,amazon:8376489003,mobi-asin:69056142-b973-46fe-bb93-f5ea6b530087",pol,87,"Smierc zaginal, zapewne juz... gdzies odszedl. A to prowadzi do chaosu, jaki pojawia sie zawsze, kiedy ulega zalamaniu wazny spolecznie sektor uslug. Pan Reg Shoe, aktywista Martwych Praw - Polaczmy swe sily, bo inaczej lezymy - nagle ma wiecej pracy, niz moglby sobie wymarzyc. A niedawno zmarly mag Windle Poons budzi sie w trumnie i odkrywa, ze powrocil na swiat jako zwloki. Ale to wlasnie Windle i czlonkowie niezbyt przerazajacej grupy nieumarlych z Ankh-Morpork musza uratowac swiat dla zyjacych. Tymczasem daleko od miasta, na malej farmie, pewien mroczny przybysz okazuje sie znakomitym kosiarzem. Plon czeka na zniwa... A poza tym czeka go calkiem inna walka.

**
",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Terry Pratchett/Kosiarz (474)/cover.jpg,2011-09-15T02:00:00+02:00,,474873,"Pratchett, Terry",Kosiarz,Kosiarz,Prószynski Media,,FINE,474,,30ede709-b3ef-4556-b2cb-3bb226751f58
Terry Pratchett,Świat Dysku,10.0,2016-09-15T10:24:47+02:00,,"epub, mobi",9788378393542,"isbn:9788378393542,amazon:8378393542,mobi-asin:a31899e2-3b03-43d4-95d4-a9d23b7421b0",pol,87,"Ruchome obrazki

**
",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Terry Pratchett/Ruchome Obrazki (475)/cover.jpg,2012-09-15T02:00:00+02:00,,531940,"Pratchett, Terry",Ruchome Obrazki,Ruchome Obrazki,Prószynski Media,,FINE,475,,30125801-1c51-4fa2-af3c-13a8f56e9b52
Terry Pratchett,Świat Dysku,9.0,2016-09-15T10:24:47+02:00,,"epub, mobi",9788378390602,"isbn:9788378390602,amazon:8378390608,mobi-asin:1ba23e26-5dfe-4d5c-920f-360eb0f92316",pol,87,"Slyszeliscie o Fauscie... To jest Eryk. Istnieje pewna roznica. Eryk ma czternascie lat, mieszka na legendarnym i magicznym Swiecie Dysku, a takze jest pierwszym w historii hakerem demonologii. Na szczescie nie udalo mu sie wywolac zadnych demonow, wywolal za to Rincewinda (najbardziej niekompetentnego maga w uniwersum) oraz Bagaz (najniebezpieczniejszy sprzet podrozny na swiecie). Kiedy Eryk wypuszcza ich na niczym nie chroniony swiat, oczekuje, ze Rincewind spelni trzy jego zyczenia. Wiecie przeciez. Standardowa trojka. Zyc wiecznie, panowac nad swiatem, spotkac najpiekniejsza kobiete w historii. Wlasciwie to proste... Dryfowanie u zarania Czasu, zmiana przyszlosci i spotkanie z najbardziej klopotliwym bogiem historii to zaledwie poczatek. Stworzenie zycia na Dysku to drobnostka. Poniewaz Rincewind trafia w koncu do Piekla. Doslownie. A ono nigdy juz nie bedzie takie jak dawniej.

**
",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Terry Pratchett/Eryk (476)/cover.jpg,2012-09-15T02:00:00+02:00,,280124,"Pratchett, Terry",Eryk,Eryk,Prószy?ski Media,,FINE,476,,34bc30b2-bc90-4ca4-af0a-f1e41ad9a13b
Terry Pratchett,Świat Dysku,8.0,2016-09-15T10:24:47+02:00,,"epub, mobi",,mobi-asin:b43c6d40-550e-4458-a851-9062bfcde308,pol,87,,Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Terry Pratchett/Straz! Straz! (477)/cover.jpg,1989-07-10T00:00:00+02:00,,551410,"Pratchett, Terry",Straż! Straż!,Straż! Straż!,,,FINE,477,,ea854291-ed8b-4cb1-bae6-9e0455576500
Terry Pratchett,Świat Dysku,7.0,2016-09-15T10:24:48+02:00,,"epub, mobi",,"amazon:B00AJ0LORY,mobi-asin:bc0141bd-f8d2-4645-b477-a89be2b96370",pol,87,"Djelibeybi - starozytne królestwo w dolinie rzeki... Teppic - powracajacy z dalekiego Ankh-Morpork, by zasiasc na tronie... Dios - najwyzszy kaplan... I piramidy. Najlepsza ksiazka Pratchetta od czasu poprzedniej. A w niej: dlaczego matematyka rozwija sie w krajach goracych, co robia piramidy oprócz ostrzenia zyletek, co rabuja piraci, co mysla umarli, dlaczego zólwie nienawidza filozofii a kozy - religii.

**
",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Terry Pratchett/Piramidy (478)/cover.jpg,2009-12-04T01:00:00+01:00,,441838,"Pratchett, Terry",Piramidy,Piramidy,Prószynski I S-Ka,,FINE,478,,4b054772-7d6c-4c7a-8d5d-a798a98ec85f
Terry Pratchett,Świat Dysku,6.0,2016-09-15T10:24:48+02:00,,"epub, mobi",,mobi-asin:e1098473-6b87-4de9-ba41-f12f3086bb56,pol,87,,Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Terry Pratchett/Trzy wiedzmy (479)/cover.jpg,1988-07-10T00:00:00+02:00,,488880,"Pratchett, Terry",Trzy wiedźmy,Trzy wiedźmy,,,FINE,479,,085af7ab-3c24-4811-8aa1-82adf25a4ea5
Terry Pratchett,Świat Dysku,5.0,2016-09-15T10:24:48+02:00,,"epub, mobi",9788376489636,"isbn:9788376489636,amazon:8376489631,mobi-asin:e0f6ead8-8ed9-4df1-ac17-ef090a1706ca",pol,87,"Narodzil sie Czarodziciel - czarownik tak potezny, ze w porownaniu z jego moca wszelka magia jest tylko dziecinna zabawka. Samo jego istnienie doprowadza Swiat Dysku, ktory oczywiscie jest plaski i plynie w przestrzeni na grzbiecie gigantycznego zolwia, na krawed? totalnej wojny taumaturgicznej. To niedobrze. Na jego drodze stoi jedynie Rincewind, nieudany mag, ktory chce ocalic swiat, a przynajmniej te czesc, ktora zawiera jego osobe. W przygodzie uczestnicza nowe postaci: Conena, barbarzynska fryzjerka, Nijel Niszczyciel (ktorego matka wciaz zmusza do noszenia welnianej bielizny) i byc moze pierwszy dzin-yuppie, ktory zajmuje sie lampami jako potencjalnie obiecujacym rynkiem. Los prowadzi ich na Wschod, czy tez w strone Osi czy jakos tak.

**
",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Terry Pratchett/Czarodzicielstwo (480)/cover.jpg,2011-09-15T02:00:00+02:00,,479980,"Pratchett, Terry",Czarodzicielstwo,Czarodzicielstwo,Prószy?ski Media,,FINE,480,,976dafe4-de0b-4778-bd8f-58598239aef1
Terry Pratchett,Świat Dysku,4.0,2016-09-15T10:24:48+02:00,,"epub, mobi",,"amazon:B002WE7UHS,mobi-asin:e4eb2322-f652-4ad9-a90f-13a2873f3bad",pol,87,,Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Terry Pratchett/Mort (481)/cover.jpg,1988-11-18T01:00:00+01:00,True,434381,"Pratchett, Terry",Mort,Mort,Corgi,,FINE,481,2016-10-05T20:10:32+02:00,18549b4f-cdc0-4e61-8599-b6e49f14b06e
Anne Rice,,1.0,2016-09-30T20:52:38+02:00,,"epub, prc",9788373016866,"mobi-asin:ec65abba-cd55-4638-aa9f-943cf5e997be,amazon:8373016864,google:1ipvAAAACAAJ,isbn:9788373016866",pol,86,"Louis de Pointe du Lac, arystokrata z Luizjany, opowiada dziennikarzowi o swojej podrozy przez zycie i niesmiertelnosc. Zmieniony w wampira przez ponurego Lestata, wiedzie egzystencje, ktorej nie rozumie i do konca nie akceptuje. Jedyna jego towarzyszka j

**
",Biblioteka calibre,5,/home/amarcinkowski/Dropbox/Biblioteka calibre/Anne Rice/Wywiad z wampirem (482)/cover.jpg,2014-01-15T19:53:45+01:00,,489744,"Rice, Anne",Wywiad z wampirem,Wywiad z wampirem,REBIS,,FINE,482,,4ce7e83b-554a-43af-b660-8d84bf685fa5
Neil Gaiman,,1.0,2016-09-30T21:02:39+02:00,,"epub, mobi",9788374803106,isbn:9788374803106,pol,89,,Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Neil Gaiman/Amerykanscy bogowie (483)/cover.jpg,2012-11-18T00:00:00+01:00,,1719046,"Gaiman, Neil",Amerykańscy bogowie,Amerykańscy bogowie,Wydawnictwo MAG,,FINE,483,,4b150578-f67b-4c08-a94d-3e305add89d7
antologia,,1.0,2016-10-01T13:31:11+02:00,,epub,,,eng,999,,Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/antologia/Legendy 1 (484)/cover.jpg,0101-01-01T01:00:00+01:00,,659217,antologia,Legendy 1,Legendy 1,,,,484,,f8fd1fcc-29d2-4dc1-a644-1c60a095ed62
antologia,,1.0,2016-10-01T13:31:11+02:00,,epub,,,eng,999,,Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/antologia/Legendy 2 (485)/cover.jpg,0101-01-01T01:00:00+01:00,,687590,antologia,Legendy 2,Legendy 2,,,,485,,28cef830-24e4-45a9-850f-5c06758216e7
Ursula K. Le Guin,,1.0,2016-10-01T13:36:47+02:00,General Interest,"epub, mobi",,mobi-asin:3b03d38c-acf8-4d0b-ae22-1724473d01fb,pol,100,,Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Ursula K. Le Guin/Lawinia (486)/cover.jpg,2011-02-25T10:27:09+01:00,,611301,"Guin, Ursula K. Le",Lawinia,Lawinia,,,DONE,486,,7f4c018f-e0d5-4e27-ab8a-cd17013238b1
